"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"NHQ[1]",0.0250059331842842,0.0262218427968207,0.0178868076917528,2.97793196953476e-12,0.0587483346519413
"NHQ[2]",0.0417517203570129,0.0405146132904603,0.0124943846892513,0.0208718501741965,0.069406318328322
"NHQ[3]",0.0412832420139304,0.0403514662680107,0.0117821072417815,0.0210012794043304,0.0669702858744528
"NHQ[4]",0.037051784786398,0.0363311653380668,0.0125243105884566,0.0149286503472622,0.0631380894990287
"NHQ[5]",0.0403565174390627,0.0395009538066696,0.0100540796852127,0.0227675592568151,0.062686087690829
"NHQ[6]",0.033716366535202,0.033192805001845,0.00814729790356672,0.0190749642552667,0.0510130353674933
"NHQ[7]",0.0248803596216855,0.0244696953317011,0.00624090088769908,0.0136993623426927,0.0381173290943627
"NHQ[8]",0.0227194463044547,0.0217863407732973,0.00789241906812148,0.00985963790612154,0.0405826005677054
"NHQ[9]",0.0241834565090732,0.0234899040422192,0.00704815538947801,0.0123202044294627,0.040049421246605
"NHQ[10]",0.0280350613744303,0.0273305199271315,0.00969909323076933,0.0107873649702635,0.0489368159472549
"NHQ[11]",0.0330745531638876,0.0325033371155148,0.0119500039665254,0.0110361165930514,0.0589522154843592
"NHQ[12]",0.0381284654261827,0.0369348000512902,0.0111991625821879,0.0197133910871445,0.0636789970620759
"NHQ[13]",0.033022495563182,0.0317970587832299,0.0107523248143426,0.0152958982496022,0.0577928297978179
"NHQ[14]",0.0290342061446531,0.0280128826793235,0.00968229177100915,0.0130065903432477,0.0516838698276161
"NHQ[15]",0.0324019659584637,0.0316597969113335,0.0084577667002967,0.0181032989045415,0.0514886230613242
"NHQ[16]",0.0320974542119145,0.0313813747920645,0.010198667792478,0.0146579044911634,0.0543705871458142
"NHQ[17]",0.0345632915397666,0.0335574071234816,0.00999995334956978,0.0178424489086881,0.0566733586890113
"NHQ[18]",0.0355288944910749,0.034365113508143,0.0104740358112043,0.0180186336286903,0.0591498032133942
"NHQ[19]",0.0342981319546273,0.033746323487191,0.00953003018759084,0.0174931438358474,0.0546194677947771
"NHQ[20]",0.0310425604947256,0.0300265036006817,0.00972766077704834,0.0142614687788527,0.0520480053819985
"NHQ[21]",0.0299365685054272,0.0296459052210816,0.00889232792094259,0.0133331613061077,0.0484451297463904
"NHQ[22]",0.0272039144342857,0.0265429045699461,0.00816838744653333,0.0132723196307033,0.0446990238894299
"NHQ[23]",0.0259524600519522,0.0250647808694408,0.00875259703170805,0.011436317504098,0.0452772135672483
"NHQ[24]",0.034428299094111,0.0336027540577263,0.0103048007776123,0.0167141312654171,0.0576735522107683
"NHQ[25]",0.0294606762352036,0.028853821838438,0.00739975972925799,0.016532765309874,0.0451279664023513
"NHQ[26]",0.0288231755079636,0.0283158501293458,0.00793789793657729,0.0151983319970643,0.0465492437950674
"NHQ[27]",0.0361220291766042,0.0355450005931436,0.0104571866466414,0.0174278921018037,0.058003384452854
"NHQ[28]",0.0439368951661328,0.0433200615468634,0.0110228555643345,0.0242408573400904,0.0678931089985302
