BirdID,Year,PrenestStart,FirstNestVisit,IncubationStart,Notes
251,2018,2018/04/20 21:00:43.000,2018/05/03 14:00:11.000,2018/05/13 11:00:09.000,
258,2018,2018/04/20 20:00:44.000,2018/04/23 15:00:43.000,2018/05/03 16:02:37.000,Nest Failed in laying
280,2018,2018/04/16 13:00:12.000,2018/04/23 14:00:10.000,2018/05/05 11:00:12.000,
286,2018,2018/04/23 16:01:03.000,2018/04/25 17:01:01.000,2018/05/09 12:00:15.000,
354,2018,2018/04/18 10:00:46.000,2018/04/27 14:01:15.000,2018/05/06 23:00:10.000,
355,2018,2018/04/17 19:01:08.000,2018/04/18 21:00:15.000,2018/05/03 15:01:01.000,
361,2018,2018/04/20 01:00:46.000,2018/04/24 15:00:12.000,2018/05/06 13:01:14.000,
10376,2018,2018/04/20 13:00:16.000,2018/05/19 19:01:09.000,2018/05/29 14:01:42.000,
375,2019,2019/04/08 12:00:15.000,2019/05/06 17:00:13.000,2019/05/20 10:00:45.000,
409,2019,2019/04/25 13:00:06.000,2019/05/11 19:00:36.000,2019/05/22 10:01:10.000,
410,2019,2019/03/23 16:00:35.000,2019/05/13 19:00:35.000,2019/05/23 12:00:24.000,
420,2019,2019/05/01 14:00:04.000,2019/05/14 21:01:05.000,2019/05/29 18:00:05.000,
426,2019,2019/04/05 11:00:18.000,2019/05/06 17:00:12.000,2019/05/14 12:00:18.000,
435,2019,2019/05/03 23:00:04.000,2019/06/07 13:59:04.000,2019/06/14 13:59:02.000,
444,2019,2019/04/24 05:00:35.000,2019/04/29 18:00:35.000,2019/05/09 12:00:33.000,
447,2019,2019/04/15 11:00:05.000,2019/05/04 18:00:12.000,2019/05/16 23:00:35.000,
833,2019,2019/04/22 16:00:04.000,2019/05/03 22:00:34.000,2019/05/16 23:00:05.000,
409,2020,2020/04/03 16:00:36.000,2020/04/22 12:00:10.000,2020/05/03 09:00:00.000,
410,2020,2020/04/14 12:00:07.000,2020/04/29 17:00:36.000,2020/05/10 11:00:00.000,
420,2020,2020/04/06 12:01:09.000,2020/04/14 08:01:04.000,2020/04/27 09:01:07.000,
426,2020,2020/04/10 14:00:11.000,2020/04/13 11:00:00.000,2020/04/26 13:00:00.000,
826,2020,2020/03/30 12:54:19.000,2020/04/24 12:52:25.000,2020/05/05 09:00:00.000,
839,2020,2020/04/11 11:56:05.000,2020/05/15 12:54:22.000,2020/05/24 06:00:00.000,
844,2020,2020/03/31 17:56:05.000,2020/04/10 12:55:21.000,2020/04/26 09:00:00.000,
849,2020,2020/04/05 10:56:33.000,2020/04/12 13:56:01.000,2020/04/24 08:00:00.000,
1525,2020,2020/04/06 14:00:51.000,2020/04/14 12:00:06.000,2020/04/27 09:00:00.000,
1553,2020,2020/04/12 16:01:16.000,2020/04/21 16:00:43.000,2020/05/03 18:00:00.000,
1616,2020,2020/04/20 09:57:29.000,2020/05/18 14:56:15.000,2020/05/28 14:56:15.000,
1617,2020,2020/04/07 13:57:33.000,2020/04/14 12:57:04.000,2020/04/28 10:00:00.000,
1622,2020,2020/04/08 13:58:32.000,2020/05/06 11:56:49.000,2020/05/19 00:00:00.000,
1626,2020,2020/04/04 16:58:51.000,2020/04/22 15:57:50.000,2020/05/05 14:00:00.000,
